id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
11,Adam Shankman,125,95,163,650,Brad Garrett,14000,113006880,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier ,66308,16884,Tate Donovan,0,bodyguard|death of husband|male nanny|nanny|wrestling match,225,English,Canada,PG,2005,799,0,"[-4.8424131e-03  2.2132711e-03  1.0048522e-03  2.2054079e-03
  1.7117577e-03 -3.9742906e-03  1.3627615e-03  1.6704506e-03
  2.2854661e-03 -2.3469832e-03 -1.7877114e-03  2.7483137e-04
 -1.6546443e-03  2.0895265e-03 -3.2970025e-03 -3.1929705e-03
  5.6221324e-04  9.5670449e-04 -6.0548086e-04 -4.4368408e-03
 -2.2085423e-03 -4.4528972e-03 -6.3841930e-04  5.5416673e-03
 -7.0878705e-03 -4.3705846e-03 -1.6709276e-03  4.6163361e-05
 -6.2508998e-04 -1.9106494e-03  1.2745094e-03 -4.0860893e-03
  6.1360146e-03 -7.5958315e-03 -3.6005578e-03  8.8663567e-03
  1.5338843e-03 -7.0232491e-04  2.5664719e-03 -7.7375973e-04
  7.8716949e-03 -6.5409397e-03 -1.2421862e-03 -4.1461326e-03
 -2.9880239e-03 -4.2996407e-03 -1.9903753e-03  4.2074895e-03
  1.6132387e-03  5.0802487e-03 -4.0200320e-03 -5.2193655e-03
  8.4129088e-03 -5.3592636e-03 -2.1166529e-04 -2.9614428e-03
  6.9083371e-03 -6.7575458e-03 -7.1059959e-04  1.6870722e-04
  2.3922855e-03 -2.9274085e-04 -2.9025811e-03 -8.8415487e-05
 -3.7276599e-04  4.7952360e-03  4.3218913e-03 -2.4048875e-03
  3.8886052e-03  4.2420477e-03 -1.4560588e-03 -6.8283308e-04
 -3.3614333e-03 -4.1641928e-03 -4.3903076e-04  1.9459007e-04
 -1.3409517e-03 -1.5403852e-03 -3.7959628e-03  3.4918830e-05
  1.4639320e-03 -2.6736297e-03 -4.2700828e-03  2.1335543e-03
 -2.6462076e-03 -7.3529868e-03  9.4965650e-03  2.3735403e-03
 -8.8120927e-05 -1.3084384e-03  5.3726556e-03  5.2042087e-03
  1.9556587e-03  1.3808641e-03 -7.8591183e-03  2.6068215e-03
  5.6941570e-03  5.6567148e-04 -2.2862002e-03 -5.7495832e-03]",0.002326279,2
12,Ron Howard,175,110,2000,636,T.J. Thyne,1000,260031035,Comedy|Family|Fantasy,Clint Howard,How the Grinch Stole Christmas ,141414,4146,Molly Shannon,0,box office hit|christmas|materialism|public humiliation|snowflake,482,English,USA,PG,2000,722,0,"[-1.0252104e-03  1.5990749e-03 -2.7218746e-04  9.8968972e-04
  2.7503078e-03 -1.2567333e-03 -2.4188796e-04  1.9746588e-03
  1.1762093e-03  2.5142272e-04 -4.6061777e-04 -2.1346195e-03
  4.8996881e-05  1.0816858e-03 -4.7013978e-04 -1.0100148e-03
 -1.4558064e-03  1.6418379e-03 -2.1799273e-04 -1.4979061e-03
 -1.4655342e-03 -2.5982519e-03 -5.2584091e-04  5.9341022e-05
 -3.2176808e-03 -3.3995342e-03  4.1250483e-04 -2.4561770e-03
 -1.5721240e-03 -4.0656276e-04  3.4104331e-04 -1.2507760e-03
  3.5537505e-03 -2.9969667e-03 -8.9415407e-04  4.8784949e-03
 -6.7990483e-04  5.4232206e-04  1.2975822e-03 -2.3867667e-03
  4.8589236e-03 -1.4532476e-03 -1.0445414e-03 -1.6143748e-03
  5.8498641e-05 -1.7503243e-03 -1.3028458e-03  2.2413898e-03
  5.0897361e-04  2.5398571e-03 -1.5169372e-03 -3.7985102e-03
  5.1884293e-03 -3.6326151e-03 -8.2109327e-04 -3.6530034e-04
  1.6714984e-03 -3.4638806e-03 -2.4714670e-04  4.2654807e-04
  5.4471788e-04  6.4676651e-04 -9.4054517e-04 -1.0945045e-04
  8.3454441e-05  2.2352003e-03  1.4036893e-03 -1.7146182e-03
 -9.7706717e-05  2.6124972e-04 -7.2363764e-06 -9.4834669e-04
 -1.0390846e-03 -2.1346135e-03  5.9450063e-04  2.3870752e-03
 -1.7706404e-04  9.1264508e-04 -1.4824575e-03  4.7436770e-04
  2.5874067e-03 -1.9844586e-03 -1.6451727e-03  5.4443673e-05
 -2.9350109e-03 -5.2404930e-03  4.6493714e-03  9.5791928e-04
 -2.9293011e-04 -1.2731429e-03  2.8921044e-03  2.5791060e-03
  3.7781280e-04  8.5765851e-04 -3.9555049e-03  7.5058779e-04
  2.6738525e-03 -5.1285652e-04 -2.4505772e-03 -3.2878057e-03]",0.001951073,2
13,Xavier Gens,174,122,87,605,Lauren German,2000,22000,Drama|Sci-Fi|Thriller,Michael Biehn,The Divide ,30511,4920,Rosanna Arquette,4,doggystyle sex|rough sex|sodomy|torture|violent sex,226,English,Germany,R,2011,683,0,"[-3.8951293e-03  2.7920497e-03 -8.2092470e-04  2.5677299e-03
  1.5216870e-03 -2.9591271e-03 -9.7769918e-04  2.2495261e-03
  3.1820571e-03 -2.2472413e-03 -3.0193760e-03  3.9794558e-04
 -3.6948075e-04  2.6282459e-03 -2.1109662e-03 -3.4919148e-03
  3.2874031e-04  1.3080351e-03 -7.4724987e-04 -4.2652464e-03
 -1.1467068e-03 -4.1515054e-03 -2.6521686e-04  3.9404458e-03
 -7.7419914e-03 -5.6302259e-03 -1.1227345e-03 -2.8118850e-05
 -1.4947662e-04 -2.2682892e-03  1.6686739e-03 -3.8337857e-03
  5.0148265e-03 -7.1877427e-03 -2.9212020e-03  8.0532776e-03
  2.4341003e-03 -1.5979551e-04  2.9813065e-03 -6.2490464e-04
  8.9162765e-03 -5.4523814e-03 -1.4674382e-03 -3.3973947e-03
 -3.0645984e-03 -2.7394053e-03 -1.8722436e-03  5.3726430e-03
  3.8988434e-04  6.0929824e-03 -4.3710512e-03 -4.5741643e-03
  8.1543606e-03 -4.7999844e-03 -1.5820790e-03 -2.6866123e-03
  6.9269612e-03 -7.1397792e-03  1.6897924e-03  1.9263608e-03
  2.8309645e-03 -1.7360889e-04 -4.0652684e-04  7.9565361e-04
 -9.2194951e-04  5.7203220e-03  4.6245209e-03 -2.2378385e-03
  2.2507589e-03  3.9588809e-03 -1.7177518e-03 -1.4276707e-03
 -2.9289322e-03 -5.3751883e-03 -1.2067251e-03  2.7539989e-04
  1.3812771e-03 -1.9680725e-03 -3.4268061e-03 -1.0772856e-03
  2.2605243e-03 -3.6403565e-03 -3.7774171e-03  1.5738405e-03
 -2.8532352e-03 -7.8294324e-03  9.5033897e-03  2.5713579e-03
  2.8208212e-04 -1.7800650e-03  4.7612377e-03  3.7294016e-03
  1.5042970e-03  2.0976616e-03 -6.8657086e-03  2.3053314e-03
  6.5770596e-03  1.0572216e-03 -2.6301753e-03 -5.3352881e-03]",0.001275702,2
14,Steve Carver,29,107,8,268,William Sanderson,926,12200000,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,7973,2383,Robert Beltran,0,drugs|martial arts|texas|texas ranger|weapon,65,English,USA,PG,1983,400,0,"[-1.53758808e-03  1.69212278e-03 -3.42349726e-04 -6.18786959e-04
  1.84671336e-03 -5.09884616e-04 -4.07450454e-04  2.52491063e-05
  1.36701332e-03  1.47843966e-03 -4.10551758e-04  3.19290062e-04
 -3.96609452e-04 -8.84391426e-04  7.12391513e-04 -4.12106374e-06
 -1.76979729e-03  3.92813381e-04 -3.69616086e-04  1.28463449e-04
 -1.07134075e-03 -8.63132358e-04 -6.04657514e-04 -3.30684386e-04
 -1.70617539e-03  3.81528051e-04  1.21052389e-03 -2.37227781e-04
  9.04615445e-04 -7.80858507e-04  3.99828823e-05 -5.14733547e-04
 -9.50052810e-04  7.19937729e-04  1.43900732e-04  9.24061809e-04
  2.24541151e-03  1.00847986e-03  5.13792795e-04  5.74019738e-04
  1.16196473e-03 -1.23125641e-03  5.70017379e-04 -2.51856935e-03
  1.05490186e-03 -5.21660026e-04  7.84545555e-05  1.03262393e-03
  9.64010600e-04  1.58160145e-03 -4.51068016e-04 -2.24360893e-03
  2.07445282e-03 -5.55790204e-04 -9.32328228e-04 -5.53026272e-04
  6.21527433e-04 -9.80904675e-04  9.15738347e-04  5.01662551e-04
 -1.04427105e-04  5.69996017e-04  4.78734117e-04  1.07941183e-03
 -3.66252032e-04  1.40538483e-04  6.13258628e-04 -2.28791940e-03
  1.75004720e-03 -1.17937532e-04  3.04145797e-04  1.20112940e-03
 -8.21638911e-04 -2.17751483e-03  8.72297445e-04 -2.94974219e-04
 -6.57022683e-05 -8.32019083e-04 -1.95373199e-03 -3.62001214e-04
 -6.40733924e-04 -1.18793780e-03 -1.45725149e-03 -8.10207101e-04
 -8.73422076e-04 -2.23376439e-03  1.17685588e-03 -2.89230113e-04
  4.49359039e-04 -7.31297187e-05 -2.23698196e-04  4.25764709e-04
  6.72827067e-04  4.63368051e-04 -1.69854518e-03 -8.61366454e-04
  1.95961562e-03 -2.14145589e-03 -5.54355618e-04 -5.59906359e-04]",0.000525289,2
15,Patrick Tatopoulos,164,92,148,227,Kevin Grevioux,978,45802315,Action|Adventure|Fantasy|Sci-Fi|Thriller,Craig Parker,Underworld: Rise of the Lycans ,119974,2184,Steven Mackintosh,1,battle|slave|vampire|warrior|werewolf,169,English,USA,R,2009,593,0,"[-2.67540966e-03  2.82925274e-03 -1.48308533e-03 -6.90677611e-04
  3.40426667e-03 -2.43299711e-03 -2.90927826e-04  2.49080150e-03
  8.88060313e-04  5.55288061e-05  6.53290481e-04 -5.36765088e-04
  4.47701022e-04  1.81137375e-03  1.19947756e-04 -1.91329257e-03
  3.62108753e-04  2.89304368e-03 -8.95906356e-04 -1.98243442e-03
 -7.50621897e-04 -4.06493479e-03 -1.26931095e-03  1.62439793e-03
 -4.19441983e-03 -4.05570911e-03 -1.64321461e-03 -2.08661961e-03
 -1.04095903e-03  3.65379266e-04  5.43395639e-04 -1.37126318e-03
  2.17684126e-03 -5.84556488e-03 -1.30673475e-03  4.27120039e-03
  6.16426929e-04 -1.21727015e-03  2.73012323e-03 -1.59344857e-03
  6.94637373e-03 -4.64382116e-03 -1.15786388e-03 -2.16118619e-03
 -5.41597605e-04 -2.03295471e-03 -1.17151195e-03  1.97916897e-03
  2.67085241e-04  2.30596703e-03 -1.95486075e-03 -4.80966875e-03
  5.70189487e-03 -3.80045502e-03 -1.48266088e-03 -1.96041516e-03
  5.41566778e-03 -4.46462166e-03 -3.35882534e-04  8.56300001e-04
  7.86562799e-04 -4.28145067e-05 -6.22370164e-04  1.20755716e-03
 -1.32072973e-03  5.26305521e-03  1.66929909e-03 -1.71319547e-03
 -2.79822561e-04  2.57141958e-03  1.46219158e-03 -1.10359292e-03
 -7.30578962e-04 -1.81981327e-03  2.08666868e-04 -1.23017935e-05
 -6.15599332e-04 -1.44968787e-03 -2.68937438e-03 -1.83164680e-04
  1.41519005e-03 -1.90476980e-03 -2.18881224e-03 -1.89501676e-03
 -1.65307592e-03 -6.76426664e-03  6.18300959e-03  1.91819767e-04
  4.72581771e-04 -1.66179985e-03  2.54007778e-03  3.47119686e-03
  2.54670135e-03 -7.22563651e-04 -4.59541660e-03  1.54809805e-03
  3.35895689e-03 -3.85019841e-04 -2.99160369e-03 -5.29714022e-03]",0.000525289,2
16,James Ivory,20,139,133,5,Todd Boyce,423,2474000,Biography|Drama|History|Romance,Seth Gilliam,Jefferson in Paris ,2427,446,Nigel Whitmey,1,18th century|ambassador|french revolution|friendship|thomas jefferson,27,English,France,PG-13,1995,15,127,"[-2.4923889e-03  2.8735234e-03 -1.1658653e-04  1.4901598e-03
  2.1542623e-03 -8.0787094e-04  1.7429150e-04  2.3725927e-03
  8.8341354e-04  1.6783952e-04 -1.6262674e-03  4.5731230e-04
  1.7682522e-03  2.0573360e-03 -1.5275653e-04 -2.8683997e-03
 -8.5979620e-05 -1.9435929e-03  2.5754879e-04 -2.3940664e-03
 -2.3854086e-03 -3.6616810e-03  9.9046144e-04  1.7541684e-03
 -4.5646406e-03 -1.2228684e-03 -1.8188152e-03  4.0433937e-04
 -1.6720140e-03 -1.7489680e-03  7.6537003e-04 -7.1818661e-04
  2.5687004e-03 -3.5749301e-03 -3.4205386e-04  2.9156527e-03
  7.8671373e-04 -3.2130329e-04  1.0146747e-03 -1.4210347e-03
  3.7553718e-03 -6.0108677e-03 -3.9876425e-03 -3.2650034e-03
 -6.9624587e-04 -1.4237771e-03 -1.1896425e-03  5.0513382e-04
  1.4523487e-03  2.0924500e-04  8.3026825e-05 -8.4252469e-04
  5.4432829e-03 -2.2285383e-03 -9.8795659e-05 -6.2844664e-04
  4.0093148e-03 -3.4642911e-03 -2.9985860e-04 -3.4312811e-03
  2.3933242e-03  3.2180981e-04 -2.0813872e-03  1.1576760e-03
  7.4061990e-04  1.6225217e-03  2.2402708e-03  6.8814139e-04
 -2.9134352e-04  2.6704886e-03 -1.2145615e-03 -2.2098443e-03
  6.0116919e-04 -2.8984856e-03 -1.9904133e-03  2.1606158e-03
 -1.7269073e-03  5.2081945e-05 -2.4127708e-04 -1.5027192e-03
 -3.1539251e-04 -1.3266616e-03 -2.6166141e-03 -1.8681088e-03
 -1.4800737e-03 -3.7265674e-03  4.7265193e-03  2.9770683e-03
 -6.3332613e-04 -2.2552188e-03  3.1501446e-03  1.2224998e-03
 -4.1337324e-05  2.4125129e-03 -2.5581568e-03  1.2004612e-03
  3.0079205e-03 -1.8454595e-03 -3.6706335e-03 -2.9442881e-03]",0.000825454,2
17,Karan Johar,20,193,160,860,John Abraham,8000,3275443,Drama,Shah Rukh Khan,Kabhi Alvida Naa Kehna ,13998,10822,Preity Zinta,2,extramarital affair|fashion magazine editor|marriage|new york|teacher,264,Hindi,India,R,2006,1000,659,"[ 1.0260586e-04 -1.1035255e-03 -3.1797690e-04  5.1355950e-05
  1.1417841e-03  1.7907115e-04  3.1708012e-04  4.8826332e-04
  1.7299899e-04  4.4324438e-04 -8.5461570e-04  9.3347044e-04
  2.0717649e-04 -1.0668827e-04 -2.4537617e-04  2.4503877e-04
 -1.3206603e-03 -9.7015116e-04  1.4148433e-03  5.3516414e-06
  4.2708649e-04  2.3931655e-04  8.5509999e-04  3.0872208e-04
 -1.2509972e-03  2.3867813e-04 -8.5657521e-06  6.8377893e-05
 -6.3164707e-04 -2.0973801e-03 -4.4308347e-04  1.6532496e-03
  3.8332277e-04 -1.6706144e-03 -4.8023229e-04 -2.5657477e-04
  4.2852876e-04  9.6777629e-04 -4.2475385e-04 -3.6586131e-04
  8.5782015e-04 -9.0373709e-04  4.0599972e-04 -6.2734744e-04
  1.2939936e-04 -1.0702603e-03  3.9114739e-04 -2.9205228e-04
 -1.5140314e-03  1.7668551e-03 -1.6897535e-03 -7.5257651e-04
  1.2706297e-03 -8.0349942e-04 -9.2635234e-04  1.4989157e-03
  8.0053299e-04 -1.6688962e-03  8.1991986e-04 -5.8760139e-04
  1.1268529e-03  1.4252471e-03 -1.1097795e-03 -9.3439582e-04
 -1.5894382e-03  7.2010432e-04 -6.0379278e-04 -5.2844308e-04
 -1.2897701e-03  9.1674703e-04 -1.1949972e-03 -8.7366818e-04
 -3.0473297e-04 -1.4107587e-04  3.0380132e-04  1.0054730e-03
 -3.2553915e-04 -8.2308683e-04  7.9896796e-04 -1.5651307e-04
 -6.5443874e-04 -2.3027528e-03  1.8605952e-04 -2.1923079e-04
  3.2528743e-04 -7.9108984e-04 -8.3899358e-06  1.3713470e-03
 -5.0644972e-04 -3.1439410e-04 -2.8948099e-04 -4.0300633e-04
 -6.7596196e-04  1.8571955e-04  2.5644644e-05  1.3369292e-03
 -9.7591663e-04 -5.2617938e-04  8.6062978e-04 -5.9505121e-04]",0.000450248,2
18,Michael Mann,261,133,0,301,Archie Kao,26000,7097125,Action|Crime|Drama|Mystery|Thriller,Chris Hemsworth,Blackhat ,38983,28129,Brandon Molale,1,chinese|computer|cybercrime|hacker|one word title,207,English,USA,R,2015,326,11000,"[-2.1196748e-03  4.6031841e-04 -6.1282353e-04  1.0029914e-04
  9.8481949e-04 -1.7757515e-03  9.2774490e-04  5.3025584e-04
  1.1998910e-03  1.8860138e-04  4.1868794e-04 -1.8403793e-03
 -2.2146227e-03  1.4241228e-03  1.6389049e-03 -6.2754448e-04
  7.4719277e-04  1.5864051e-03 -1.4588820e-03 -2.1250371e-03
 -1.3666339e-03 -4.6844449e-04 -1.3182604e-03  1.1026860e-03
 -1.9669123e-03 -1.3561481e-04 -2.6240358e-03  9.6665096e-04
  8.3998224e-04 -1.8070590e-04 -1.2049109e-03  7.0520520e-04
 -3.4560377e-04 -1.5854053e-03  1.1532295e-03  2.7522678e-03
  3.6049358e-04 -1.9847443e-03  4.2650616e-05 -2.1941590e-03
  4.5296778e-03 -1.1882031e-03 -1.4877929e-03  1.2194901e-03
 -1.2367959e-03 -1.2964251e-03 -9.3455630e-05  1.8672834e-03
  1.9539593e-04  3.6310658e-03 -4.6810007e-04 -1.0939951e-03
  2.7167052e-03 -1.6257494e-03  2.3321736e-04 -6.4452225e-04
  1.0480836e-03  2.6493141e-04 -5.2609819e-04 -7.8585150e-04
  5.4700597e-04 -2.9013460e-04 -4.7615208e-04 -8.6782151e-04
  6.3936743e-05 -8.2242681e-05  4.7229344e-04 -5.7615381e-04
  4.0610370e-04 -1.5399522e-04  6.8896072e-04 -1.0930963e-03
  1.0047539e-03 -1.6933806e-03 -7.3747570e-04 -9.2635193e-04
 -1.4548565e-03 -5.9061154e-04 -2.7246732e-04  2.5961487e-04
  1.0305353e-03 -1.4777714e-03 -1.1854105e-03 -8.4526982e-04
 -1.8112136e-03 -2.1650370e-03  8.4772287e-04 -5.6351523e-04
 -9.4212970e-04 -3.4324944e-04 -4.1671676e-04  7.2107528e-04
  2.4976151e-03  1.8598485e-03  5.4548582e-04 -3.9294927e-04
  1.9993847e-03 -6.0689909e-04  2.5351183e-03 -1.4428777e-03]",0.001800991,2
19,Victor Salva,190,90,108,270,Patricia Belcher,1000,37470017,Horror|Mystery,Eileen Brennan,Jeepers Creepers ,86890,1982,Jonathan Breck,0,demon|gore|record player|tattoo|wings,985,English,Germany,R,2001,322,0,"[ 1.7480599e-03  2.0051813e-03 -7.5448072e-04  3.3365126e-05
  5.3695601e-04  4.4802437e-04  1.2150798e-03  7.0236018e-04
  8.5853314e-04 -9.9013594e-04 -1.3602821e-03 -1.9558339e-04
  5.8129383e-04 -6.3263316e-04 -1.3303263e-03  1.0663088e-03
 -2.1864965e-03  1.0896850e-03  7.8753429e-04 -1.5733601e-03
 -4.2173310e-04 -8.9688180e-04 -1.0669855e-03 -9.5493306e-05
  2.9604556e-04  7.1138551e-04 -1.2230222e-03  6.4618164e-04
  1.4465773e-03 -2.0496484e-03 -1.7318802e-04 -5.8347837e-04
  8.8137551e-04  1.7115717e-03  1.2034958e-03  2.3054087e-03
  9.9526648e-04 -2.2070527e-03 -6.8256009e-04  4.4985214e-04
  4.5406583e-04 -9.1318600e-04 -3.4608354e-05 -1.1015142e-03
 -2.3912257e-04 -3.8622056e-05  1.6360770e-03 -3.7469534e-04
  2.4346872e-03  5.5563601e-04  2.0035365e-04 -1.7220739e-04
  2.6667737e-03  3.8345665e-04 -1.2427178e-03  1.8105148e-04
  1.1533586e-05 -7.5329927e-04 -3.9508916e-04 -1.0555584e-03
 -3.7668023e-04  1.2672894e-03  7.6985150e-04  7.6415297e-04
  8.5808599e-05 -1.5668882e-04 -9.6221745e-04  7.2402094e-04
  4.0669765e-04 -5.1221746e-04  7.4231578e-04 -6.5527111e-04
 -1.0948505e-03 -4.2912090e-04 -2.6651076e-03  1.6952828e-03
  1.5248314e-03  2.6769590e-04  1.0743427e-04 -1.6481904e-03
  1.9987738e-03  7.5859099e-04 -1.5691771e-04  4.5155582e-04
  1.0110438e-03 -3.5035163e-03  8.1654976e-04  1.4507156e-04
  4.9286184e-04 -2.5272251e-03  9.7928802e-04 -3.5439892e-04
 -8.1707397e-04 -8.8945904e-04 -3.0875676e-03  1.3186230e-03
  1.0020301e-03  1.2338371e-03 -1.1571347e-03  1.2671514e-03]",0.000825454,2
20,John Gatins,75,98,61,83,Freddy Rodríguez,649,32701088,Drama|Family|Sport,Ken Howard,Dreamer: Inspired by a True Story ,10018,1400,Holmes Osborne,1,colon in title|horse|kentucky|overalls|six word title,108,English,USA,PG,2005,579,0,"[-2.2140790e-03  1.3379914e-03 -3.0823683e-04  1.6989765e-03
  4.0447849e-04 -6.9441972e-04  1.6196290e-03  1.8700156e-03
 -4.2349380e-04  3.6603489e-04 -3.0914223e-04 -4.1510959e-04
  1.5074305e-03  1.3823863e-03 -7.7623402e-04  4.3815890e-04
 -1.4189662e-03  4.4664741e-04 -8.9376589e-04 -1.1630470e-03
 -8.7284757e-04 -1.8101426e-04  1.3035960e-03  6.2475813e-04
 -1.7113150e-03 -2.1412112e-03 -1.6558818e-03 -2.8227689e-04
 -1.1833208e-03 -2.9254751e-03  6.5561687e-04 -1.3827685e-04
  2.6504758e-03 -1.5565720e-03  1.9445959e-03  4.9475296e-03
  6.7328167e-04  1.1218376e-03  2.0823623e-03 -1.5893793e-03
  3.8998276e-03 -2.5312633e-03 -5.7125383e-04  7.8013873e-05
 -6.5536797e-04 -8.8274182e-04 -3.6709997e-04  1.5439922e-03
 -3.6114166e-04  2.8219267e-03 -8.1279670e-04 -2.3750206e-03
  3.4419112e-03 -4.5880559e-04 -9.1338716e-04 -1.1005864e-03
  2.0163842e-03 -1.7374796e-03  1.1680885e-03 -1.4228043e-03
 -1.1088509e-03 -1.6181766e-04  2.3102869e-04  5.8444176e-04
 -7.1601867e-04  3.1841457e-05  1.2092764e-03 -9.3880697e-04
 -1.3263873e-03  7.0130354e-04 -2.1401860e-03 -8.6839689e-05
 -2.0104216e-03 -2.0437867e-03 -2.0471308e-03  4.2100166e-04
 -2.3994164e-03 -1.1327849e-04 -3.0034806e-03  6.5018801e-04
  7.8759430e-04 -2.4294280e-03 -1.0343961e-03 -2.7092631e-04
 -7.1573647e-04 -3.2225589e-03  4.2775651e-03 -7.3896983e-04
  2.5059009e-04 -1.4555466e-05  1.7071636e-03  1.8149918e-03
  3.9157170e-04  1.6895937e-03 -1.3138911e-03  1.6168506e-03
  2.6015181e-03  9.0079621e-04 -1.9281862e-03 -2.0204687e-03]",0.00060033,2
21,Joel Schumacher,144,121,541,680,Rene Auberjonois,920,184031112,Action|Adventure|Fantasy,Michael Gough,Batman Forever ,190786,2880,Debi Mazar,4,love|necktie|partner|rock music|tuxedo,539,English,USA,PG-13,1995,710,0,"[-1.98919256e-03  8.05136369e-05  5.21671027e-05  7.56395748e-05
  1.08338299e-03 -2.64909794e-03 -1.01176603e-03  1.11183792e-04
 -6.70141308e-05 -1.10508851e-03 -2.78776139e-03  6.31535775e-04
  6.96454663e-04 -6.03219203e-04 -1.00447005e-03 -1.37042988e-03
 -7.67219928e-04 -3.16495483e-04 -2.04012191e-04 -1.12514896e-03
 -7.62162439e-04 -5.32236998e-04 -1.17646123e-03 -1.83688360e-04
 -2.82755075e-03 -7.30308995e-04 -1.70660368e-03 -5.87964896e-05
  5.09542355e-04 -1.03455549e-03  3.79375648e-04 -1.41632033e-03
  5.90840704e-04 -2.44051544e-03 -1.62222434e-03  2.65129167e-03
  7.18921481e-04 -2.46730982e-03  1.57093536e-03  2.06537661e-05
  3.05514201e-03 -2.06815917e-03 -5.31927333e-04 -8.13839026e-04
  4.72954387e-04 -1.32329750e-03 -3.54006246e-04  1.45286624e-03
 -1.41336932e-05  2.16771499e-03 -1.90935819e-03 -3.63856601e-03
  3.91390920e-03 -1.63992133e-03 -2.49556557e-04 -1.99591508e-03
  6.14794379e-04 -1.09668676e-04  4.07059124e-04 -4.61971038e-04
  7.50324689e-04 -5.27157041e-04 -8.19649664e-04  1.01702288e-03
  2.62325339e-04  1.18878612e-03  1.54742785e-03  4.90655075e-04
 -9.02195636e-04  1.15557201e-03 -1.19253038e-03 -8.53701378e-04
  2.22172763e-04 -2.40580342e-03  1.46406284e-03  1.83289009e-03
  4.15364106e-04  1.83480617e-04 -1.01895118e-03 -4.50462452e-04
  1.38289295e-03 -1.25283014e-03 -1.26760080e-03  1.01367594e-03
 -1.15679344e-03 -1.92572386e-03  3.19220126e-03  7.06241350e-04
  8.34202947e-05 -1.22874556e-03  2.04625598e-04  2.05146614e-03
 -1.40309421e-04  8.23790382e-04 -2.10864539e-03  7.01905345e-04
  2.38480140e-03  1.21825340e-03 -4.62726777e-04 -1.72274024e-03]",0.002101156,2
22,Olivier Megaton,358,98,118,558,Luke Grimes,14000,139852971,Action|Crime|Thriller,Liam Neeson,Taken 2 ,238671,16410,D.B. Sweeney,0,albanian|revenge|revenge motive|teenage daughter|vacation,461,English,France,PG-13,2012,935,63000,"[-4.9433862e-03 -4.5275793e-04 -9.3301630e-04 -2.8640009e-03
 -2.8789979e-03 -1.1781943e-03 -2.7295097e-04  2.6100674e-03
 -3.3558633e-03 -3.5823212e-04 -3.3045006e-03  1.7467220e-03
 -9.8173728e-04  6.0379622e-05 -1.3810765e-03 -6.3306284e-03
 -4.3727638e-04 -3.4833339e-03 -6.1736925e-04 -1.4916435e-03
 -4.5908894e-03 -4.8867578e-04 -8.3722291e-05  3.6041019e-06
 -6.6181757e-03 -1.7162054e-03 -1.2625367e-03 -2.4126333e-03
 -9.0277812e-04 -4.9601943e-04 -5.3582177e-04 -2.7248545e-03
  3.1413226e-03 -6.0445634e-03 -1.6900392e-03  7.3856479e-03
  2.7264403e-03 -2.1102368e-03  4.6496857e-03 -3.8289244e-04
  4.6725185e-03 -2.6321544e-03 -3.7693474e-03 -2.7236477e-03
  1.7760179e-03 -1.5240607e-03  7.6513184e-04  3.8130877e-03
 -2.1936775e-03  2.5041820e-03  5.5586436e-04 -2.4756291e-03
  7.5865546e-03 -1.6107762e-03 -5.4977387e-03 -1.2440481e-03
  6.8412167e-03 -4.7302367e-03 -4.6264222e-03 -9.2717062e-04
  4.8420816e-03  1.0779439e-03 -3.7152169e-04 -9.4117748e-04
 -6.9488684e-04  2.5041949e-04  4.8185349e-03  2.7978162e-03
  5.3657772e-04 -6.1245874e-04 -1.8875612e-03  8.2940375e-04
  1.4443457e-03 -1.4038908e-03 -1.4902197e-03  1.6993704e-03
 -3.4419554e-03 -4.4081168e-04 -3.7423521e-03 -5.9593411e-05
  2.7200775e-03 -1.5393285e-03 -2.0090519e-03 -2.9217408e-03
 -2.9947655e-03 -7.2955401e-03 -1.1748117e-03  1.1463644e-03
 -4.8200384e-04 -6.5601070e-04  1.8738294e-03  6.2716571e-03
 -4.9044931e-04  1.4645025e-03  1.2587808e-04  2.8528096e-03
  7.8639435e-04  4.4252718e-04 -1.7123090e-03 -2.3931651e-03]",0.002401321,2
